dataset_name,schema_name,schema_size_bytes,not_counts,model_output,valid,reason,condition
Github_medium,o10078.json,2779,1,"{     ""createdAt"": {         ""since"": ""2020-01-01T00:00:00Z"",         ""until"": ""2020-01-01T00:00:00Z""     },     ""level"": {         ""comparison"": ""gt"",         ""value"": ""info""     },     ""source"": {         ""options"": ""logs"",         ""pattern"": ""^.*\.log$""     },     ""tags"": {         ""match"": ""all"",         ""value"": [             ""error"",             ""critical""         ]     },     ""time"": {         ""since"": ""2020-01-01T00:00:00Z"",         ""until"": ""2020-01-01T00:00:00Z""     } }",False,JSON mal formé : Invalid \escape: line 12 column 24 (char 249),zero-shot
Github_medium,o10310.json,2280,2,"{""orgName"": ""my-org"", ""pluginName"": ""my-plugin"", ""pluginShortName"": ""my-plugin-short"", ""repoName"": ""my-repo"", ""repoNamesList"": ""my-repo, another-repo"", ""ruleName"": ""my-rule"", ""teamName"": ""my-team""}",False,invalide : 'my-plugin-short' should not be valid under {'pattern': 'ghlint|plugin'},zero-shot
Github_medium,o11666.json,6874,2,"{""type"": ""array"", ""items"": [{""type"": ""string"", ""format"": ""int32""}, {""type"": ""number"", ""format"": ""double""}, {""type"": ""string"", ""format"": ""byte""}]}",False,"invalide : {'type': 'string', 'format': 'int32'} is not valid under any of the given schemas",zero-shot
Github_medium,o11667.json,3799,1,"{""type"": ""string"", ""format"": ""int32"", ""defaultValue"": null, ""enum"": [""integer""], ""minimum"": 0, ""maximum"": 100}",False,"invalide : {'type': 'string', 'format': 'int32', 'defaultValue': None, 'enum': ['integer'], 'minimum': 0, 'maximum': 100} is not valid under any of the given schemas",zero-shot
Github_medium,o12174.json,6982,2,"{     ""id"": ""https://raw.githubusercontent.com/OAI/OpenAPI-Specification/master/schemas/v1.2/dataType.json#"",     ""$schema"": ""http://json-schema.org/draft-04/schema#"",     ""description"": ""Data type as described by the specification (version 1.2)"",     ""type"": ""object"",     ""oneOf"": [         {             ""$ref"": ""#/definitions/refType""         },         {             ""$ref"": ""#/definitions/voidType""         },         {             ""$ref"": ""#/definitions/primitiveType""         },         {    ",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o12175.json,3911,1,"{""type"": ""string"", ""format"": ""int32"", ""defaultValue"": null, ""enum"": [""integer""], ""minimum"": 0, ""maximum"": 100}",False,"invalide : {'type': 'string', 'format': 'int32', 'defaultValue': None, 'enum': ['integer'], 'minimum': 0, 'maximum': 100} is not valid under any of the given schemas",zero-shot
Github_medium,o24621.json,2207,1,"{     ""modules"": [         {             ""name"": ""yotta-shrinkwrap"",             ""version"": ""1.0.0""         },         {             ""name"": ""yotta-shrinkwrap-2.0.0"",             ""version"": ""2.0.0""         }     ],     ""targets"": [         {             ""name"": ""yotta-shrinkwrap-2.0.0"",             ""version"": ""2.0.0"",             ""path"": ""yotta-shrinkwrap-2.0.0"",             ""semverSpecification"": ""2.0.0""         },         {             ""name"": ""yotta-shrinkwrap-2.0.0"",             ""version"": """,False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o27148.json,3485,2,"{     ""aal"": ""/ndmg_atlases/labels/AAL.nii.gz"",     ""atlas"": ""/ndmg_atlases/atlas/MNI152_T1_1mm.nii.gz"",     ""bval_file"": ""/ndmg_atlases/labels/CPAC200.nii.gz"",     ""bvec_file"": ""/ndmg_atlases/labels/desikan.nii.gz"",     ""clean"": true,     ""cpac200"": ""/ndmg_atlases/labels/CPAC200.nii.gz"",     ""dti_file"": ""/ndmg_atlases/labels/desikan.nii.gz"",     ""dti_file_minc"": ""/ndmg_atlases/labels/desikan.nii.gz"",     """,False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o27154.json,2503,3,"{""config_num"": 4, ""enum_input"": ""val1"", ""file_input"": ""file.txt"", ""flag_input"": true, ""list_int_input"": [1, 2, 3], ""num_input"": 0.5, ""str_input"": ""val2""}",False,invalide : True is not one of [False],zero-shot
Github_medium,o3626.json,8883,1,"{     ""$schema"": ""http://json-schema.org/draft-04/schema#"",     ""definitions"": {         ""location"": {             ""description"": ""Location(s) to search for the object"",             ""type"": ""object"",             ""properties"": {                 ""location"": {                     ""description"": ""Location to search for the object"",                     ""type"": ""string""                 },                 ""locations"": {                     ""description"": ""Locations to search for the object"",           ",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o39168.json,2768,1,"{""type"": ""car"", ""properties"": {""type"": ""car"", ""properties"": {""manufacturer"": ""Toyota"", ""model"": ""Corolla"", ""fuelType"": ""gasoline"", ""constructionYear"": 2021, ""VIN"": ""1234567890""}}}",False,invalide : 'id' is a required property,zero-shot
Github_medium,o39217.json,4311,1,"{     ""additionalItems"": false,     ""additionalProperties"": false,     ""dependencies"": {         ""patternProperties"": {             ""additionalProperties"": false,             ""if"": {                 ""properties"": {                     ""propertyNames"": {                         ""maxLength"": 10                     }                 }             },             ""then"": {                 ""required"": [                     ""maxLength""                 ]             }         },         ""pattern"": {    ",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o4179.json,6048,1,"{     ""$schemaRef"": ""https://eddn.edcd.io/schemas/journal/1#"",     ""header"": {         ""gatewayTimestamp"": ""2021-01-01T00:00:00Z"",         ""softwareName"": ""EDCD"",         ""softwareVersion"": ""1.0.0"",         ""uploaderID"": ""EDCD""     },     ""message"": {         ""ActiveFine"": 0,         ""BoostUsed"": 0,         ""CockpitBreach"": 0,         ""Factions"": [             {                 ""HappiestSystem"": 0,                 ""HomeSystem"": 0,                 ""MyReputation"": 0,                 ""SquadronFacti",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o42994.json,3806,1,"{     ""bounds"": [         -180,         -90,         180,         90     ],     ""center"": [         -122.4194,         37.7749,         13     ],     ""tiles"": [         ""https://example.com/tile/123456789.png""     ],     ""json"": {         ""vector_layers"": [             {                 ""id"": ""https://example.com/vector_layer.json"",                 ""description"": ""This is a vector layer."",                 ""minzoon"": 13,                 ""maxzoon"": 13             }         ]     },     ""crs"": ""EPS",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o44368.json,2822,1,"{""type"": ""car"", ""properties"": {""manufacturer"": ""Toyota"", ""model"": ""Corolla"", ""fuelType"": ""gasoline"", ""constructionYear"": 2021, ""VIN"": ""1234567890""}}",False,invalide : 'id' is a required property,zero-shot
Github_medium,o47656.json,2512,2,"{""encoding"": ""UTF-8"", ""timeZone"": ""UTC"", ""database"": {""dbms"": ""MySQL"", ""prefix"": """", ""x-dropFirst"": false}, ""resources"": {""resources"": [{""base"": {}, ""abstract"": false, ""inheritanceStrategy"": ""restrict"", ""idInjection"": true, ""relations"": [{""onDelete"": ""restrict"", ""onUpdate"": ""restrict""}]}]}}",True,,zero-shot
Github_medium,o57539.json,5236,1,"{     ""questionGroups"": [         {             ""description"": ""Array of QID difficulty groups, one per difficulty level of questions."",             ""type"": ""array"",             ""items"": [                 {                     ""description"": ""Array of QID topic groups, one per topic of questions."",                     ""type"": ""array"",                     ""items"": [                         {                             ""description"": ""Array of question IDs (QIDs) for this topic and difficulty."", ",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o58453.json,6936,1,"{""version"": ""1.0.0"", ""architect"": {""architecture"": ""angular"", ""default"": {}}, ""cli"": {""command"": ""angular"", ""default"": {}}, ""defaultProject"": ""default"", ""newProjectRoot"": ""./"", ""projects"": {""default"": {}}, ""schematics"": {""default"": {}}, ""targets"": {""default"": {}}}",False,invalide : '1.0.0' is not of type 'number',zero-shot
Github_medium,o63158.json,3945,1,"{""#"": ""#"", ""attribution"": """", ""header"": """", ""initialView"": {""filters"": [], ""map"": """", ""source"": """"}, ""sources"": [{""#"": """", ""data"": {}, ""filters"": [], ""id"": """", ""linkouts"": [], ""method"": """", ""url"": """"}], ""title"": ""cmap-js schema"", ""type"": ""object""}",False,"invalide : {'filters': [], 'map': '', 'source': ''} is not of type 'array'",zero-shot
Github_medium,o65942.json,3759,1,"{""name"": ""file_extracted_file"", ""user"": ""root"", ""group"": ""root"", ""type"": ""file"", ""size"": 100, ""mode"": ""644""}",False,"invalide : {'name': 'file_extracted_file', 'user': 'root', 'group': 'root', 'type': 'file', 'size': 100, 'mode': '644'} is not of type 'array'",zero-shot
Github_medium,o65945.json,5628,1,"{""extracted"": true, ""files"": [{""name"": ""file1"", ""type"": ""file"", ""size"": 123, ""mode"": ""644""}, {""name"": ""file2"", ""type"": ""dir"", ""size"": 0, ""mode"": ""755""}, {""name"": ""file3"", ""type"": ""link"", ""size"": 0, ""mode"": ""755""}]}",True,,zero-shot
Github_medium,o68294.json,3952,1,"{""placement_id"": 1, ""placementId"": 1, ""inv_code"": ""A"", ""invCode"": ""A"", ""member"": ""B"", ""keywords"": [{""key"": ""keyword1"", ""value"": [""value1"", ""value2""]}], ""traffic_source_code"": ""A"", ""reserve"": 10, ""position"": ""above"", ""use_pmt_rule"": true, ""private_sizes"": [{""w"": 300, ""h"": 250}]}",False,"invalide : {'placement_id': 1, 'placementId': 1, 'inv_code': 'A', 'invCode': 'A', 'member': 'B', 'keywords': [{'key': 'keyword1', 'value': ['value1', 'value2']}], 'traffic_source_code': 'A', 'reserve'",zero-shot
Github_medium,o69248.json,19414,3,,False,prompt trop long (4048 tokens) - overflow,zero-shot
Github_medium,o7574.json,2652,1,"{""services"": {""service"": {""basePath"": ""/var/www/html""}}, ""jsonscript"": {""processResponse"": {""typeof"": ""function""}}, ""Promise"": {""description"": ""Promise class to use, will be ignored if used from command line""}}",True,,zero-shot
Github_medium,o76785.json,19317,3,,False,prompt trop long (4023 tokens) - overflow,zero-shot
Github_medium,o79016.json,4040,1,"{""is"": ""queue"", ""exchange"": {""name"": ""test-exchange"", ""type"": ""topic"", ""durable"": true, ""autoDelete"": true}, ""queue"": {""name"": ""test-queue"", ""durable"": true, ""exclusive"": true, ""autoDelete"": true}}",False,"invalide : {'is': 'queue', 'exchange': {'name': 'test-exchange', 'type': 'topic', 'durable': True, 'autoDelete': True}, 'queue': {'name': 'test-queue', 'durable': True, 'exclusive': True, 'autoDelete'",zero-shot
Github_medium,o79474.json,2988,1,"{     ""wildCardCondition"": {         ""attribute"": ""SAML_attribute"",         ""wildCard"": ""*""     },     ""alwaysCondition"": true,     ""notCondition"": {         ""not"": false     },     ""condition"": {         ""oneOf"": [             {                 ""$ref"": ""#/definitions/wildCardCondition""             },             {                 ""$ref"": ""#/definitions/notCondition""             },             {                 ""$ref"": ""#/definitions/alwaysCondition""             }         ]     },     ""injectRol",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o83286.json,6289,1,"{     ""id"": 1,     ""long_name"": ""Resource Mapping"",     ""name"": ""Resource Mapping"",     ""nodes"": 1,     ""ppn"": 1,     ""start_date"": ""2020-01-01T00:00:00Z"",     ""devices"": {         ""netdir"": {             ""name"": ""home""         },         ""netdrv"": {             ""name"": ""home""         },         ""net"": {             ""name"": ""home""         }     },     ""attributes"": {         ""local_job_id"": 1,         ""resource_name"": ""home"",         ""resource_id"": 1,         ""organization_id"": 1,         ""accou",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o84199.json,4555,1,"{     ""Warning!"": ""text"",     ""config"": {         ""type"": ""select"",         ""options"": [             {                 ""type"": ""integer"",                 ""value"": 1             },             {                 ""type"": ""text"",                 ""value"": ""test""             },             {                 ""type"": ""boolean"",                 ""value"": true             },             {                 ""type"": ""array"",                 ""value"": [                     ""test"",                     ""test2""    ",False,tronqué / aucun objet JSON complet,zero-shot
Github_medium,o90940.json,5369,1,"{""fields"": [{""code"": 1, ""name"": ""field1"", ""format"": ""string"", ""defaultUsage"": """", ""usages"": [{""name"": ""usage1""}]}, {""code"": 2, ""name"": ""field2"", ""format"": ""string"", ""defaultUsage"": """", ""usages"": [{""name"": ""usage2""}]}]}",False,invalide : 'field' is a required property,zero-shot
Github_medium,o10078.json,2779,1,"{     ""createdAt"": {         ""since"": ""2020-01-01T00:00:00Z"",         ""until"": ""2020-01-01T00:00:00Z""     },     ""level"": {         ""comparison"": ""eq"",         ""value"": ""info""     },     ""source"": {         ""options"": """",         ""pattern"": ""^[a-zA-Z0-9_\-\.]+$""     },     ""tags"": {         ""match"": ""all"",         ""value"": []     },     ""time"": {         ""since"": ""2020-01-01T00:00:00Z"",         ""until"": ""2020-01-01T00:00:00Z""     } }",False,JSON mal formé : Invalid \escape: line 12 column 33 (char 254),few-shot
Github_medium,o10310.json,2280,2,"{""orgName"": ""MyOrg"", ""pluginName"": ""MyPlugin"", ""pluginShortName"": ""MyPlugin"", ""repoName"": ""MyRepo"", ""repoNamesList"": ""MyRepo, MyRepo2"", ""ruleName"": ""MyRule"", ""teamName"": ""MyTeam""}",False,invalide : 'MyPlugin' does not match '^ghlint-plugin-(?:[A-Za-z0-9]+[-]?)+[A-Za-z0-9]$',few-shot
Github_medium,o11666.json,6874,2,"{""type"": ""array"", ""items"": {""type"": ""string"", ""format"": ""int32""}}",False,"invalide : {'type': 'string', 'format': 'int32'} is not of type 'array'",few-shot
Github_medium,o11667.json,3799,1,"{""type"": ""string"", ""format"": ""int32"", ""defaultValue"": null, ""enum"": [""integer""], ""minimum"": 0, ""maximum"": 4294967295, ""items"": {""$ref"": ""#/definitions/itemsObject""}}",False,"invalide : {'type': 'string', 'format': 'int32', 'defaultValue': None, 'enum': ['integer'], 'minimum': 0, 'maximum': 4294967295, 'items': {'$ref': '#/definitions/itemsObject'}} is not valid under any ",few-shot
Github_medium,o12174.json,6982,2,"{""type"": ""array"", ""items"": {""type"": ""string"", ""format"": ""date-time""}}",False,"invalide : {'type': 'string', 'format': 'date-time'} is not of type 'array'",few-shot
Github_medium,o12175.json,3911,1,"{""type"": ""string"", ""format"": ""int32"", ""defaultValue"": null, ""enum"": [""integer""], ""minimum"": 0, ""maximum"": 100}",False,"invalide : {'type': 'string', 'format': 'int32', 'defaultValue': None, 'enum': ['integer'], 'minimum': 0, 'maximum': 100} is not valid under any of the given schemas",few-shot
Github_medium,o24621.json,2207,1,"{""modules"": [{""name"": ""yotta-shrinkwrap"", ""version"": ""1.0.0""}, {""name"": ""yotta-shrinkwrap-2.0.0"", ""version"": ""2.0.0""}], ""targets"": [{""name"": ""yotta-shrinkwrap-2.0.0"", ""version"": ""2.0.0"", ""path"": ""yotta-shrinkwrap-2.0.0"", ""semverSpecification"": ""2.0.0""}]}",False,invalide : 'yotta-shrinkwrap-2.0.0' does not match '^[a-z]+[a-z0-9-]*$',few-shot
Github_medium,o27148.json,3485,2,"{     ""aal"": ""/ndmg_atlases/labels/AAL.nii.gz"",     ""atlas"": ""/ndmg_atlases/atlas/MNI152_T1_1mm.nii.gz"",     ""bval_file"": ""/ndmg_atlases/labels/CPAC200.nii.gz"",     ""bvec_file"": ""/ndmg_atlases/labels/desikan.nii.gz"",     ""clean"": true,     ""cpac200"": ""/ndmg_atlases/labels/CPAC200.nii.gz"",     ""dti_file"": ""/ndmg_atlases/labels/desikan.nii.gz"",     ""dti_file_minc"": ""/ndmg_atlases/labels/desikan.nii.gz"",     """,False,tronqué / aucun objet JSON complet,few-shot
Github_medium,o27154.json,2503,3,"{""config_num"": 4, ""enum_input"": ""val1"", ""file_input"": ""file.txt"", ""flag_input"": true, ""list_int_input"": [1, 2, 3], ""num_input"": 0.5, ""str_input"": ""val1,val2,val3""}",False,invalide : True is not one of [False],few-shot
Github_medium,o3626.json,8883,1,,False,prompt trop long (1862 tokens) - overflow,few-shot
Github_medium,o39168.json,2768,1,"{""type"": ""car"", ""properties"": {""type"": ""car"", ""properties"": {""manufacturer"": ""Toyota"", ""model"": ""Corolla"", ""fuelType"": ""gasoline"", ""constructionYear"": 2020, ""VIN"": ""1234567890""}}}",False,invalide : 'id' is a required property,few-shot
Github_medium,o39217.json,4311,1,"{     ""additionalItems"": false,     ""additionalProperties"": false,     ""dependencies"": {         ""additionalProperties"": false,         ""if"": {             ""properties"": {                 ""propertyNames"": {                     ""type"": ""string""                 }             }         },         ""then"": {             ""properties"": {                 ""propertyNames"": {                     ""type"": ""string""                 }             }         },         ""else"": {             ""properties"": {       ",False,tronqué / aucun objet JSON complet,few-shot
Github_medium,o4179.json,6048,1,"{     ""header"": {         ""gatewayTimestamp"": ""2021-01-01T00:00:00Z"",         ""softwareName"": ""Alpha Centauri"",         ""softwareVersion"": ""1.0.0"",         ""uploaderID"": ""johndoe""     },     ""message"": {         ""ActiveFine"": 0.0,         ""BoostUsed"": 0.0,         ""CockpitBreach"": false,         ""Factions"": [             {                 ""HappiestSystem"": ""Alpha Centauri"",                 ""HomeSystem"": ""Alpha Centauri"",                 ""MyReputation"": 0.0,                 ""SquadronFaction"": ""Al",False,tronqué / aucun objet JSON complet,few-shot
Github_medium,o42994.json,3806,1,"{     ""bounds"": [         -180,         -90,         180,         90     ],     ""center"": [         -122.4194,         37.7749,         13     ],     ""tiles"": [         ""https://tile.stamen.com/toner/{z}/{x}/{y}.png""     ],     ""json"": '{""vector_layers"":[{""id"":""layer1"",""description"":""layer 1"",""minzoon"":0,""maxzoon"":0}]}',     ""crs"": ""EPSG:4326"",     ""srs"": ""EPSG:4326"",     ""minzoom"": 0,     ""maxzoom"": 13,     ""scheme"": ""tms"" }",False,JSON mal formé : Expecting value: line 16 column 13 (char 236),few-shot
Github_medium,o44368.json,2822,1,"{""type"": ""car"", ""properties"": {""manufacturer"": ""Toyota"", ""model"": ""Corolla"", ""fuelType"": ""gasoline"", ""constructionYear"": 2015, ""VIN"": ""1234567890""}}",False,invalide : 'id' is a required property,few-shot
Github_medium,o47656.json,2512,2,"{""encoding"": ""UTF-8"", ""timeZone"": ""UTC"", ""database"": {""dbms"": ""MySQL"", ""prefix"": """", ""x-dropFirst"": false}, ""resources"": {""resources"": [{""base"": {}, ""abstract"": false, ""inheritanceStrategy"": ""restrict"", ""idInjection"": true, ""relations"": {""relations"": [{""onDelete"": ""restrict"", ""onUpdate"": ""restrict""}]}}]}}",True,,few-shot
Github_medium,o57539.json,5236,1,"{     ""questionGroups"": [         {             ""description"": ""Array of QID difficulty groups, one per difficulty level of questions."",             ""type"": ""array"",             ""items"": [                 {                     ""description"": ""Array of QID topic groups, one per topic of questions."",                     ""type"": ""array"",                     ""items"": [                         {                             ""description"": ""Array of question IDs (QIDs) for this topic and difficulty."", ",False,tronqué / aucun objet JSON complet,few-shot
Github_medium,o58453.json,6936,1,"{     ""version"": ""1.0.0"",     ""architect"": {         ""architect"": {             ""architect"": {                 ""architect"": {                     ""architect"": {                         ""architect"": {                             ""architect"": {                                 ""architect"": {                                     ""architect"": {                                         ""architect"": {                                             ""architect"": {                                              ",False,tronqué / aucun objet JSON complet,few-shot
Github_medium,o63158.json,3945,1,"{     ""#"": ""#"",     ""data"": {         ""#"": ""#"",         ""filters"": [             {                 ""column"": ""name"",                 ""operator"": ""equals"",                 ""value"": ""Alice""             }         ],         ""id"": ""cmap-js"",         ""linkouts"": [             {                 ""featuretype"": ""Feature"",                 ""featuretypePattern"": ""Feature"",                 ""isLinkingService"": false,                 ""text"": ""cmap-js"",                 ""url"": ""https://github.com/ncgr/cmap-js"" ",False,tronqué / aucun objet JSON complet,few-shot
